Latitude,Longitude,Total Deaths,Total Damages ('000 US$),Dis Mag Value
43.2,-0.5,1.0,0.0,5.0
39.5,21.2,9.0,5000.0,6.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
-8.965,113.017,54.0,0.0,6.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,160.0,0.0,0.0
17.412,73.885,177.0,400.0,7.0
0,0,1000.0,0.0,0.0
0,0,3029.0,0.0,0.0
39.368,24.957,19.0,600.0,7.0
-31.566,117.071,0.0,2600.0,7.0
0,0,12.0,1000.0,0.0
0,0,118.0,1500.0,0.0
0,0,221.0,199400.0,0.0
0,0,24.0,3000.0,0.0
0,0,113.0,0.0,0.0
0,0,0.0,1000.0,0.0
0,0,20.0,0.0,0.0
0,0,0.0,55000.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,50.0,0.0
0,0,87.0,5000.0,0.0
0,0,0.0,0.0,0.0
0,0,2.0,31000.0,0.0
0,0,0.0,5000.0,0.0
0,0,1.0,920.0,0.0
0,0,20.0,2500.0,0.0
0,0,0.0,74700.0,0.0
0,0,0.0,500.0,0.0
0,0,22.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,1000.0,0.0
0.157,119.802,200.0,0.0,8.0
0,0,40.0,0.0,0.0
0,0,12.0,7831.0,0.0
0,0,4892.0,94200.0,0.0
0,0,1000.0,0.0,0.0
0,0,7.0,0.0,0.0
0,0,0.0,200.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,200.0,0.0
0,0,0.0,0.0,0.0
0,0,304.0,0.0,0.0
0,0,130.0,0.0,0.0
0,0,849.0,8329.0,0.0
0,0,16.0,0.0,0.0
0,0,2.0,0.0,0.0
0,0,316.0,5770.0,0.0
22.317,111.8,3000.0,0.0,6.0
0,0,0.0,0.0,0.0
0,0,0.0,500.0,0.0
0,0,7.0,4000.0,0.0
0,0,3.0,100.0,0.0
0,0,76.0,10000.0,0.0
0,0,400.0,0.0,0.0
11.9,41.21,24.0,320.0,6.0
0,0,0.0,1000.0,0.0
0,0,23.0,0.0,0.0
0,0,269.0,15000.0,0.0
0,0,4.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,19000.0,0.0
0,0,0.0,0.0,0.0
-3.201,118.904,64.0,0.0,7.0
0,0,0.0,200.0,0.0
